claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
2,39,M,1,73,36633,1,0,Own,50048,8/12/2016,Friday,Highway,0,0,25,Phone,0,5196.552552,8,Large,24360.59273,silver,26633.27819
9,56,M,1,63,40252,1,1,Own,85068,1/2/2015,Friday,Highway,0,1,50,Broker,1,7381.165248,6,Large,39710.42665,other,15875.34874
11,39,F,0,75,36634,1,1,Own,20115,1/12/2016,Tuesday,Parking Lot,0,0,98,Broker,1,5612.123938,7,Medium,50327.56618,silver,21365.05932
13,33,M,1,72,34960,0,1,Own,50006,10/18/2015,Sunday,Local,0,1,45,Phone,0,7957.267641,2,Medium,23457.35282,black,26707.46021
14,24,F,1,70,31776,1,1,Rent,20122,9/4/2016,Sunday,Local,0,1,11,Online,0,6232.195932,1,Medium,18238.39202,silver,22949.73744
18,41,F,0,69,37140,1,0,Own,80020,7/3/2015,Friday,Local,0,0,50,Broker,0,4149.131691,6,Medium,35593.05793,red,22791.12389
22,46,F,0,56,38276,1,1,Rent,15034,5/16/2016,Monday,Highway,0,0,50,Broker,0,9548.982305,3,Medium,76187.87607,black,24623.89037
23,65,F,1,85,41749,0,0,Own,15017,10/27/2016,Thursday,Parking Lot,0,0,10,Broker,1,4028.56376,10,Compact,22348.52925,blue,26707.28381
24,50,F,0,68,39116,0,0,Rent,15001,5/29/2015,Friday,Parking Lot,0,0,50,Broker,0,3839.648925,7,Compact,21349.87753,other,31878.79291
27,40,M,1,79,36911,1,1,Own,50023,3/19/2015,Thursday,Local,3,1,2,Broker,1,6970.678272,8,Large,21257.36013,silver,18161.71454
28,60,F,1,94,40956,0,1,Rent,20120,4/17/2015,Friday,Parking Lot,2,0,1,Broker,1,7017.653127,3,Large,15212.28229,red,39237.76386
